Title,Views,Likes,Comments,Engagement Rate (%),Channel,Video ID,URL
"irl Charity Football Match ⚽️ ft. Thierry Henry, Iniesta, KSI, Chunkz & more 🇶🇦 (Match For Hope)",7644838,221604,3425,2.94,IShowSpeed,T4_sOUawGD4,https://www.youtube.com/watch?v=T4_sOUawGD4
BAD BUNNY - TURiSTA (Video Oficial) | DeBÍ TiRAR MáS FOToS,5575792,199605,8466,3.73,Bad Bunny,H7-7TXXnw8I,https://www.youtube.com/watch?v=H7-7TXXnw8I
Sabrina Carpenter - Please Please Please ft. Dolly Parton,4369135,322071,14427,7.7,SabrinaCarpenterVEVO,YiQ7qiL73aI,https://www.youtube.com/watch?v=YiQ7qiL73aI
wiege｜ Alien Stage,3087284,412612,38783,14.62,VIVINOS,rrngM9DmDfk,https://www.youtube.com/watch?v=rrngM9DmDfk
PARTYNEXTDOOR & DRAKE - CN TOWER,1144995,40953,5588,4.06,PARTYNEXTDOOR,0gI8phQgRss,https://www.youtube.com/watch?v=0gI8phQgRss
How Long Can Lunar Moon Get?,661245,10758,798,1.75,EYstreem,iawj93c6Sss,https://www.youtube.com/watch?v=iawj93c6Sss
"Neton Vega, Peso Pluma - Morena (Video Oficial)",644719,40687,1529,6.55,Neton Vega,O0DgxEW0vGQ,https://www.youtube.com/watch?v=O0DgxEW0vGQ
The Lonely Island: Musical Medley (Live) | SNL50: The Homecoming Concert,544941,13782,1252,2.76,Peacock,UV-RZYz8xTc,https://www.youtube.com/watch?v=UV-RZYz8xTc
kwn - worst behaviour (Official Video) ft. Kehlani,467410,39547,3080,9.12,kwnVEVO,VHsJCGh4gr4,https://www.youtube.com/watch?v=VHsJCGh4gr4
"Kylie & Jason on Love Languages, Dating Red Flags & Valentine’s Day at the Eagles Parade | Ep. 10",433131,16429,1512,4.14,Not Gonna Lie with Kylie Kelce,kjLRjjTItGA,https://www.youtube.com/watch?v=kjLRjjTItGA
